game_id,player_name,player_game_number,variant_name,number_of_suits,number_of_players,score,max_score,player_rating,change_in_player_rating,avg_team_rating
994253,Draku,24,No Variant,5,5,25,1,1403.5941697303929,8.69691170673832,1346.976694521879
994277,Draku,25,6 Suits,6,5,30,1,1411.8325657534983,8.238396023105679,1355.6736062286172
994291,Draku,26,Pink (6 Suits),6,4,30,1,1422.846362420442,11.013796666943565,1370.2170864788363
994296,Draku,27,White (6 Suits),6,4,0,0,1391.484286517221,-31.36207590322056,1340.8068753274756
994323,Draku,28,Omni (6 Suits),6,4,30,1,1410.231493671832,18.74720715461057,1309.444799424255
994345,Draku,29,White (6 Suits),6,4,30,1,1419.9007416276977,9.669247955865558,1328.1920065788656
994355,Draku,30,Light Pink (5 Suits),5,4,24,0,1397.6563694582449,-22.244372169452618,1337.8612545347312
994358,Draku,31,Light Pink (5 Suits),5,4,0,0,1377.191854952604,-20.464514505640864,1315.6168823652786
994363,Draku,32,White (5 Suits),5,3,25,1,1385.7753711039468,8.583516151342792,1281.226745090913
994372,Draku,33,Brown (6 Suits),6,3,30,1,1393.557973300041,7.782602196094558,1367.5504875302652
994378,Draku,34,Light Pink (5 Suits),5,4,25,1,1406.5261213790525,12.968148079010916,1367.0292267022387
994392,Draku,35,Prism (5 Suits),5,5,24,0,1385.3944387485,-21.131682630552405,1352.251802116832
994408,Draku,36,Clue Starved (5 Suits),5,3,25,1,1410.0005462056242,24.60610745712438,1338.4709661496274
994437,Draku,37,Clue Starved (6 Suits),6,3,29,0,1403.34788552981,-6.652660675814332,1368.5450974861126
994446,Draku,38,Clue Starved (6 Suits),6,3,0,0,1397.055300471941,-6.292585057868791,1360.4140677712285
994449,Draku,39,Clue Starved (6 Suits),6,3,0,0,1391.0897981564187,-5.965502315522372,1352.7231304782777
994457,Draku,40,Clue Starved (6 Suits),6,3,29,0,1385.4222953747776,-5.667502781641133,1345.4319609815282
994471,Draku,41,Clue Starved (5 Suits),5,4,25,1,1410.866722976289,25.44442760151173,1296.2031748315433
994490,Draku,42,Muddy Rainbow (5 Suits),5,4,25,1,1420.8267180092869,9.95999503299754,1328.008709333433
